Gene ID;source_id;Product Description;Min %ile (Within Chosen Samples);Max %ile (Within Chosen Samples)
PF3D7_0100100;PF3D7_0100100.1;erythrocyte membrane protein 1, PfEMP1;18.3;33.9
PF3D7_0100200;PF3D7_0100200.1;rifin;13.8;26.6
PF3D7_0100300;PF3D7_0100300.1;erythrocyte membrane protein 1, PfEMP1;3.5;7.7
PF3D7_0100400;PF3D7_0100400.1;rifin;0;11.3
PF3D7_0100500;PF3D7_0100500.1;erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene;0;14
PF3D7_0100600;PF3D7_0100600.1;rifin;0;2.3
PF3D7_0100700;PF3D7_0100700.1;Plasmodium exported protein, unknown function, fragment;0;3.5
PF3D7_0100800;PF3D7_0100800.1;rifin;0;6.5
PF3D7_0100900;PF3D7_0100900.1;rifin;0;11.6
PF3D7_0101000;PF3D7_0101000.1;rifin;0;10
PF3D7_0101100;PF3D7_0101100.1;exported protein family 4;0;6.8
PF3D7_0101200;PF3D7_0101200.1;exported protein family 3;0;8
PF3D7_0101300;PF3D7_0101300.1;Pfmc-2TM Maurer's cleft two transmembrane protein;0;10.7
PF3D7_0101400;PF3D7_0101400.1;exported protein family 1, pseudogene;0;0
PF3D7_0101500;PF3D7_0101500.1;erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene;0;6.1
PF3D7_0101600;PF3D7_0101600.1;rifin;0;8.4
PF3D7_0101700;PF3D7_0101700.1;erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene;0;6.6
PF3D7_0101800;PF3D7_0101800.1;stevor;0;6.9
PF3D7_0101900;PF3D7_0101900.1;rifin;0;10.8
PF3D7_0102000;PF3D7_0102000.1;Plasmodium exported protein (PHISTa), unknown function, pseudogene;0;14.2
PF3D7_0102100;PF3D7_0102100.1;stevor, pseudogene;0;11.3
PF3D7_0102200;PF3D7_0102200.1;ring-infected erythrocyte surface antigen;27.2;100
PF3D7_0102300;PF3D7_0102300.1;Plasmodium exported protein, unknown function;27.4;96.8
PF3D7_0102400;PF3D7_0102400.1;lysophospholipase, putative, pseudogene;22.6;46.6
PF3D7_0102500;PF3D7_0102500.1;erythrocyte binding antigen-181;16.7;97.7
PF3D7_0102600;PF3D7_0102600.1;serine/threonine protein kinase, FIKK family;20.3;79.5
PF3D7_0102700;PF3D7_0102700.1;merozoite-associated tryptophan-rich antigen;22;84.5
PF3D7_0102800;PF3D7_0102800.1;seipin domain-containing protein, putative;13.2;52
PF3D7_0102900;PF3D7_0102900.1;aspartate--tRNA ligase;60;92.6
PF3D7_0103000;PF3D7_0103000.1;vacuolar protein sorting-associated protein VTA1, putative;23.1;64.6
PF3D7_0103100;PF3D7_0103100.1;vacuolar protein sorting-associated protein 51, putative;18.3;44.4
PF3D7_0103200;PF3D7_0103200.1;nucleoside transporter 4;61.4;96.5
PF3D7_0103300;PF3D7_0103300.1;conserved protein, unknown function;52.7;72.7
PF3D7_0103400;PF3D7_0103400.1;zinc-carboxypeptidase, putative;53.9;83.9
PF3D7_0103500;PF3D7_0103500.1;conserved Plasmodium protein, unknown function;16.3;31.4
PF3D7_0103600;PF3D7_0103600.1;ATP-dependent RNA helicase, putative;39.8;72
PF3D7_0103700;PF3D7_0103700.1;L-seryl-tRNA(Sec) kinase, putative;35.5;61.1
PF3D7_0103800;PF3D7_0103800.1;actin-related protein;16.6;34.7
PF3D7_0103900;PF3D7_0103900.1;parasite-infected erythrocyte surface protein;26.8;71
PF3D7_0104000;PF3D7_0104000.1;thrombospondin-related sporozoite protein;0;15.2
PF3D7_0104100;PF3D7_0104100.1;conserved Plasmodium membrane protein, unknown function;8.1;54.4
PF3D7_0104200;PF3D7_0104200.1;StAR-related lipid transfer protein;65.4;97.2
PF3D7_0104300;PF3D7_0104300.1;ubiquitin carboxyl-terminal hydrolase 1, putative;62.7;96.4
PF3D7_0104400;PF3D7_0104400.1;4-hydroxy-3-methylbut-2-enyl diphosphate reductase;46.5;75
PF3D7_0104500;PF3D7_0104500.1;conserved protein, unknown function;32.7;91
PF3D7_0104600;PF3D7_0104600.1;conserved Plasmodium protein, unknown function;11.1;45.9
PF3D7_0104700;PF3D7_0104700.1;major facilitator superfamily-related transporter, putative;6.3;13
PF3D7_0104800;PF3D7_0104800.1;novel putative transporter 1, putative;12.8;67.5
PF3D7_0104900;PF3D7_0104900.1;RNase MRP;49.4;74.3
PF3D7_0105000;PF3D7_0105000.1;unspecified product;89.6;94.9
PF3D7_0105100;PF3D7_0105100.1;conserved Apicomplexan protein, unknown function;9.1;50.3
PF3D7_0105200;PF3D7_0105200.1;heptatricopeptide repeat and RAP domain-containing protein, putative;34.5;81.6
PF3D7_0105300;PF3D7_0105300.1;cyclase-associated protein;26.8;98.6
PF3D7_0105400;PF3D7_0105400.1;conserved Plasmodium protein, unknown function;21.4;92.6
PF3D7_0105400;PF3D7_0105400.2;conserved Plasmodium protein, unknown function;21.4;92.6
PF3D7_0105500;PF3D7_0105500.1;conserved protein, unknown function;8.8;40.5
PF3D7_0105600;PF3D7_0105600.1;conserved Plasmodium protein, unknown function;26.6;56.1
PF3D7_0105700;PF3D7_0105700.1;asparagine-rich antigen Pfa35-2;30.7;54.6
PF3D7_0105800;PF3D7_0105800.1;cyclin-dependent kinases regulatory subunit, putative;24.3;86.5
PF3D7_0105900;PF3D7_0105900.1;3'-5' exonuclease, putative;19;60.3
PF3D7_0106000;PF3D7_0106000.1;conserved protein, unknown function;21.2;81.3
PF3D7_0106100;PF3D7_0106100.1;V-type proton ATPase subunit C, putative;52.9;70
PF3D7_0106200;PF3D7_0106200.1;EF hand domain-containing protein, putative;21.1;64.7
PF3D7_0106300;PF3D7_0106300.1;calcium-transporting ATPase;80.3;90.9
PF3D7_0106400;PF3D7_0106400.1;pre-rRNA-processing protein TSR2, putative;49.3;94.1
PF3D7_0106500;PF3D7_0106500.1;conserved Plasmodium protein, unknown function;17.2;43.1
PF3D7_0106600;PF3D7_0106600.1;conserved Plasmodium protein, unknown function;9.5;36.7
PF3D7_0106700;PF3D7_0106700.1;small ribosomal subunit assembling AARP2 protein;57.4;87.1
PF3D7_0106800;PF3D7_0106800.1;ras-related protein Rab-5C;32.9;77.5
PF3D7_0106900;PF3D7_0106900.1;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative;29.1;77.4
PF3D7_0107000;PF3D7_0107000.1;centrin-1;39.9;91.8
PF3D7_0107100;PF3D7_0107100.1;conserved protein, unknown function;9.7;36.3
PF3D7_0107200;PF3D7_0107200.1;CCR4 domain-containing protein 3, putative;0;39.1
PF3D7_0107300;PF3D7_0107300.1;conserved Plasmodium protein, unknown function;14.3;20.6
PF3D7_0107400;PF3D7_0107400.1;ATP synthase-associated protein, putative;20.1;59.3
PF3D7_0107500;PF3D7_0107500.1;Niemann-Pick type C1-related protein;74.2;97.1
PF3D7_0107600;PF3D7_0107600.1;eukaryotic translation initiation factor 2-alpha kinase 2, putative;12.9;23.5
PF3D7_0107700;PF3D7_0107700.1;dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative;21.6;43.8
PF3D7_0107800;PF3D7_0107800.1;double-strand break repair protein MRE11;18.3;62.2
PF3D7_0107900;PF3D7_0107900.1;conserved Plasmodium protein, unknown function;36.2;82.6
PF3D7_0108000;PF3D7_0108000.1;proteasome subunit beta type-3, putative;72.9;96.2
PF3D7_0108100;PF3D7_0108100.1;conserved protein, unknown function;13.1;33
PF3D7_0108300;PF3D7_0108300.1;conserved Plasmodium protein, unknown function;88.1;94.5
PF3D7_0108400;PF3D7_0108400.1;mitochondrial carrier protein, putative;39;72.7
PF3D7_0108400;PF3D7_0108400.2;mitochondrial carrier protein, putative;39;72.7
PF3D7_0108500;PF3D7_0108500.1;conserved Plasmodium protein, unknown function;74.1;99.9
PF3D7_0108600;PF3D7_0108600.1;conserved protein, unknown function;31.4;63.3
PF3D7_0108700;PF3D7_0108700.1;secreted ookinete protein, putative;67.4;86.7
PF3D7_0108800;PF3D7_0108800.1;mitochondrial carrier protein, putative;42.7;61.9
PF3D7_0108900;PF3D7_0108900.1;unspecified product;12.6;95.6
PF3D7_0109000;PF3D7_0109000.1;photosensitized INA-labeled protein PHIL1;18.3;98.2
PF3D7_0109100;PF3D7_0109100.1;LCCL domain-containing protein;11.9;63.6
PF3D7_0109200;PF3D7_0109200.1;cleavage and polyadenylation specificity factor subunit 5, putative;40;69.3
PF3D7_0109300;PF3D7_0109300.1;fatty acid elongation protein, GNS1/SUR4 family, putative;25.5;47.3
PF3D7_0109400;PF3D7_0109400.1;tubulin-specific chaperone a, putative;59.2;89.9
PF3D7_0109500;PF3D7_0109500.1;N-acetyltransferase, GNAT family, putative;52.6;83.3
PF3D7_0109600;PF3D7_0109600.1;cold-shock protein, putative;31.3;58.5
PF3D7_0109700;PF3D7_0109700.1;rRNA biogenesis protein RRP36, putative;80.7;96.6
PF3D7_0109800;PF3D7_0109800.1;phenylalanine--tRNA ligase alpha subunit;58.5;77
PF3D7_0109850;PF3D7_0109850.1;phosphatidate cytidylyltransferase, putative;10.8;60.6
PF3D7_0109950;PF3D7_0109950.1;conserved protein, unknown function;29.2;75.5
PF3D7_0110000;PF3D7_0110000.1;conserved Plasmodium protein, unknown function;56.6;67.2
PF3D7_0110100;PF3D7_0110100.1;selenocysteine-specific elongation factor, putative;19;59
PF3D7_0110200;PF3D7_0110200.1;FAD-linked sulfhydryl oxidase ERV1, putative;47.2;82
PF3D7_0110300;PF3D7_0110300.1;Plasmodium RNA of unknown function RUF5;35.9;68.2
PF3D7_0110400;PF3D7_0110400.1;DNA-directed RNA polymerase II subunit RPB9, putative;78;91.5
PF3D7_0110500;PF3D7_0110500.1;bromodomain protein, putative;54.8;76
PF3D7_0110600;PF3D7_0110600.1;phosphatidylinositol-4-phosphate 5-kinase;67;85.5
PF3D7_0110700;PF3D7_0110700.1;chromatin assembly factor 1 protein WD40 domain, putative;51.9;90.7
PF3D7_0110800;PF3D7_0110800.1;transcription initiation factor TFIIB, putative;62.5;88.6
PF3D7_0110900;PF3D7_0110900.1;adenylate kinase-like protein 1;21.8;84
PF3D7_0111000;PF3D7_0111000.1;kinesin-8, putative;23.9;59.3
PF3D7_0111200;PF3D7_0111200.1;conserved protein, unknown function;17.8;62.2
PF3D7_0111300;PF3D7_0111300.1;P-loop containing nucleoside triphosphate hydrolase, putative;27.4;84.1
PF3D7_0111400;PF3D7_0111400.1;conserved Plasmodium protein, unknown function;37.1;80.5
PF3D7_0111500;PF3D7_0111500.1;UMP-CMP kinase, putative;42.2;92.4
PF3D7_0111600;PF3D7_0111600.1;conserved Plasmodium protein, unknown function;21.4;63.9
PF3D7_0111700;PF3D7_0111700.1;conserved protein, unknown function;20.9;64
PF3D7_0111800;PF3D7_0111800.1;eukaryotic translation initiation factor 4E, putative;52;93.8
PF3D7_0111900;PF3D7_0111900.1;conserved protein, unknown function;64.3;93.8
PF3D7_0112000;PF3D7_0112000.1;TatD-like deoxyribonuclease;36.4;64.2
PF3D7_0112100;PF3D7_0112100.1;conserved Plasmodium protein, unknown function;10.7;49.3
PF3D7_0112200;PF3D7_0112200.1;multidrug resistance-associated protein 1;20.6;82
PF3D7_0112800;PF3D7_0112800.1;Plasmodium exported protein (hyp11), unknown function;26.4;75.9
PF3D7_0112900;PF3D7_0112900.1;Plasmodium exported protein, unknown function;18.1;79.7
PF3D7_0113000;PF3D7_0113000.1;glutamic acid-rich protein GARP;65.1;97.5
PF3D7_0113100;PF3D7_0113100.1;surface-associated interspersed protein 1.1 (SURFIN 1.1);13.3;35.2
PF3D7_0113200;PF3D7_0113200.1;Plasmodium exported protein, unknown function;33.7;79.5
PF3D7_0113300;PF3D7_0113300.1;Plasmodium exported protein (hyp1), unknown function;19.8;90.2
PF3D7_0113400;PF3D7_0113400.1;Plasmodium exported protein, unknown function;27.7;56.7
PF3D7_0113600;PF3D7_0113600.1;surface-associated interspersed protein 1.2 (SURFIN 1.2), pseudogene;12.2;92.5
PF3D7_0113700;PF3D7_0113700.1;heat shock protein 40, type II;27.1;90.4
PF3D7_0113800;PF3D7_0113800.1;DBL containing protein, unknown function;19.1;60.4
PF3D7_0113900;PF3D7_0113900.1;CX3CL1-binding protein 1;34.1;96.8
PF3D7_0114000;PF3D7_0114000.1;exported protein family 1;20.6;61.7
PF3D7_0114100;PF3D7_0114100.1;Pfmc-2TM Maurer's cleft two transmembrane protein;3.8;15
PF3D7_0114200;PF3D7_0114200.1;exported protein family 3;7.9;18.9
PF3D7_0114300;PF3D7_0114300.1;exported protein family 4, pseudogene;0;14.5
PF3D7_0114400;PF3D7_0114400.1;erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene;9.7;39.8
PF3D7_0114500;PF3D7_0114500.1;Plasmodium exported protein (hyp10), unknown function;8.4;72.5
PF3D7_0114600;PF3D7_0114600.1;stevor, pseudogene;0;9.3
PF3D7_0114700;PF3D7_0114700.1;rifin;0;10.6
PF3D7_0114800;PF3D7_0114800.1;Plasmodium exported protein (hyp7), unknown function;0;13.4
PF3D7_0114900;PF3D7_0114900.1;Plasmodium exported protein, unknown function, pseudogene;0;8.2
PF3D7_0115000;PF3D7_0115000.1;surface-associated interspersed protein 1.3 (SURFIN 1.3);4.7;17.9
PF3D7_0115050;PF3D7_0115050.1;H/ACA snoRNA;0;0
PF3D7_0115100;PF3D7_0115100.1;Plasmodium exported protein (PHISTa), unknown function;6.9;12.7
PF3D7_0115150;PF3D7_0115150.1;Plasmodium exported protein, unknown function, pseudogene;0;10.8
PF3D7_0115200;PF3D7_0115200.1;rifin;0;6.6
PF3D7_0115300;PF3D7_0115300.1;rifin;0;4.9
PF3D7_0115400;PF3D7_0115400.1;stevor;0;9.4
PF3D7_0115500;PF3D7_0115500.1;erythrocyte membrane protein 1 (PfEMP1), pseudogene;0;10.6
PF3D7_0115600;PF3D7_0115600.1;rifin;5.1;18.9
PF3D7_0115700;PF3D7_0115700.1;erythrocyte membrane protein 1, PfEMP1;5.8;10.6
PF3D7_0200100;PF3D7_0200100.1;erythrocyte membrane protein 1, PfEMP1;12.2;28
PF3D7_0200200;PF3D7_0200200.1;rifin;0;6.7
PF3D7_0200300;PF3D7_0200300.1;erythrocyte membrane protein 1 (PfEMP1), exon 2;0;20.3
PF3D7_0200400;PF3D7_0200400.1;stevor;0;8.3
PF3D7_0200500;PF3D7_0200500.1;rifin;0;8.6
PF3D7_0200600;PF3D7_0200600.1;rifin;0;8.3
PF3D7_0200700;PF3D7_0200700.1;rifin;0;7.8
PF3D7_0200800;PF3D7_0200800.1;erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene;0;6.3
PF3D7_0200900;PF3D7_0200900.1;stevor, pseudogene;0;8.4
PF3D7_0201000;PF3D7_0201000.1;rifin;0;9.9
PF3D7_0201100;PF3D7_0201100.1;Plasmodium exported protein, unknown function, fragment;0;5
PF3D7_0201200;PF3D7_0201200.1;rifin;0;6.7
PF3D7_0201300;PF3D7_0201300.1;stevor;0;6.8
PF3D7_0201400;PF3D7_0201400.1;Plasmodium exported protein (hyp10), unknown function;0;20.1
PF3D7_0201500;PF3D7_0201500.1;Plasmodium exported protein (hyp9), unknown function;74.2;94
PF3D7_0201600;PF3D7_0201600.1;PHISTb domain-containing RESA-like protein 1;24.3;91
PF3D7_0201700;PF3D7_0201700.1;DnaJ protein, putative;13.5;93.5
PF3D7_0201800;PF3D7_0201800.1;knob associated heat shock protein 40;20.2;94.2
PF3D7_0201900;PF3D7_0201900.1;erythrocyte membrane protein 3;51.7;97.7
PF3D7_0202000;PF3D7_0202000.1;knob-associated histidine-rich protein;95.3;100
PF3D7_0202100;PF3D7_0202100.1;liver stage associated protein 2;37;98.6
PF3D7_0202200;PF3D7_0202200.1;EMP1-trafficking protein;20.6;99.2
PF3D7_0202300;PF3D7_0202300.1;Plasmodium exported protein (hyp11), unknown function;11.7;67.7
PF3D7_0202400;PF3D7_0202400.1;translation-enhancing factor;58.1;100
PF3D7_0202500;PF3D7_0202500.1;early transcribed membrane protein 2;46.7;100
PF3D7_0202600;PF3D7_0202600.1;nucleic acid binding protein, putative;41.6;67.7
PF3D7_0202600;PF3D7_0202600.2;nucleic acid binding protein, putative;41.6;67.7
PF3D7_0202700;PF3D7_0202700.1;octaprenyl pyrophosphate synthase;19.4;45.6
PF3D7_0202800;PF3D7_0202800.1;conserved Plasmodium protein, unknown function;14.1;61.8
PF3D7_0202900;PF3D7_0202900.1;palmitoyltransferase DHHC12, putative;0;45.4
PF3D7_0203000;PF3D7_0203000.1;repetitive organellar protein, putative;35.2;90.7
PF3D7_0203100;PF3D7_0203100.1;protein kinase, putative;28.1;81.3
PF3D7_0203200;PF3D7_0203200.1;conserved Plasmodium protein, unknown function;37.5;67.6
PF3D7_0203300;PF3D7_0203300.1;ERCC1 nucleotide excision repair protein, putative;42.7;64.8
PF3D7_0203400;PF3D7_0203400.1;conserved Plasmodium protein, unknown function;26.4;93.2
PF3D7_0203500;PF3D7_0203500.1;tRNA Glutamine;0;11.9
PF3D7_0203600;PF3D7_0203600.1;conserved Plasmodium protein, unknown function;6.9;36.1
PF3D7_0203700;PF3D7_0203700.1;protein MAK16, putative;62.9;95.9
PF3D7_0203800;PF3D7_0203800.1;conserved Plasmodium protein, unknown function;30.1;47.1
PF3D7_0203900;PF3D7_0203900.1;5'-3' exonuclease, N-terminal resolvase-like domain, putative;12.1;49.7
PF3D7_0204000;PF3D7_0204000.1;condensin-2 complex subunit H2, putative;13.5;40.8
PF3D7_0204100;PF3D7_0204100.1;Sel1 repeat-containing protein, putative;22.9;81.6
PF3D7_0204200;PF3D7_0204200.1;conserved Plasmodium protein, unknown function;75.2;92.6
PF3D7_0204300;PF3D7_0204300.1;conserved Plasmodium protein, unknown function;56.3;85.7
PF3D7_0204400;PF3D7_0204400.1;dynein light chain, putative;31.9;67.3
PF3D7_0204500;PF3D7_0204500.1;aspartate transaminase;39.9;74.3
PF3D7_0204600;PF3D7_0204600.1;5'-3' exonuclease, putative;25.1;54.4
PF3D7_0204700;PF3D7_0204700.1;hexose transporter;89.7;96.3
PF3D7_0204800;PF3D7_0204800.1;3'-5' exonuclease, putative;28.9;71.4
PF3D7_0204900;PF3D7_0204900.1;2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial, putative;13.3;57.4
PF3D7_0205000;PF3D7_0205000.1;conserved Plasmodium protein, unknown function;28.1;49.5
PF3D7_0205100;PF3D7_0205100.1;conserved Plasmodium protein, unknown function;25.4;46
PF3D7_0205200;PF3D7_0205200.1;MORN repeat protein, putative;0;21.8
PF3D7_0205300;PF3D7_0205300.1;conserved Plasmodium protein, unknown function;9.1;16.1
PF3D7_0205400;PF3D7_0205400.1;PCI domain-containing protein, putative;45.1;77.5
PF3D7_0205500;PF3D7_0205500.1;DNA-directed RNA polymerase II 16 kDa subunit, putative;62.4;84.5
PF3D7_0205600;PF3D7_0205600.1;conserved Plasmodium protein, unknown function;31.4;47.9
PF3D7_0205700;PF3D7_0205700.1;RNA-binding protein, putative;42.7;88.4
PF3D7_0205700;PF3D7_0205700.2;RNA-binding protein, putative;42.7;88.4
PF3D7_0205800;PF3D7_0205800.1;PH domain-containing protein, putative;43;93.4
