"Gene ID","source_id","pfal3D7_Stunnenberg_pi_time_series - Hour 5 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 10 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 15 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 20 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 25 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 30 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 35 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 40 - unique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 5 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 10 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 15 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 20 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 25 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 30 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 35 - nonunique (3D7 iRBC RNASeq)","pfal3D7_Stunnenberg_pi_time_series - Hour 40 - nonunique (3D7 iRBC RNASeq)","scaled  - Hour 5 - unique (3D7 iRBC RNASeq)","scaled  - Hour 10 - unique (3D7 iRBC RNASeq)","scaled  - Hour 15 - unique (3D7 iRBC RNASeq)","scaled  - Hour 20 - unique (3D7 iRBC RNASeq)","scaled  - Hour 25 - unique (3D7 iRBC RNASeq)","scaled  - Hour 30 - unique (3D7 iRBC RNASeq)","scaled  - Hour 35 - unique (3D7 iRBC RNASeq)","scaled  - Hour 40 - unique (3D7 iRBC RNASeq)"
"PF3D7_0900400","PF3D7_0900400.1","5.19","2.77","1.36","4.47","4.68","1.47","0.49","1.58","8.13","4.28","3.86","7.42","9.23","3.05","0.89","2.98","0.33","0.14","0.09","0.81","3.01","1.31","0.49","0.73"
"PF3D7_0900700","PF3D7_0900700.1","0.09","0.08","0","0.26","0","0","0","0","0.39","0.35","1.08","0.78","0.47","0","0","0.52","0.01","0","0","0.05","0","0","0","0"
"PF3D7_0900800","PF3D7_0900800.1","1.84","2.36","3.31","2.93","0.87","0.63","0.05","0","134.16","251.09","319.84","223.41","71.82","27.22","15.93","9.85","0.12","0.12","0.21","0.53","0.56","0.56","0.05","0"
"PF3D7_0901500","PF3D7_0901500.1","0.29","0.08","0.37","1","0.85","0.49","0.07","0.09","0.48","0.15","0.32","0.97","0.84","0.45","0.24","0.08","0.02","0","0.02","0.18","0.55","0.44","0.07","0.04"
"PF3D7_0902900","PF3D7_0902900.1","1.7","2.99","11.71","38.93","35.38","18.56","9.5","8.36","1.43","2.6","10.32","34.56","32.07","16.9","8.95","7.73","0.11","0.15","0.75","7.02","22.77","16.56","9.5","3.88"
"PF3D7_0903100","PF3D7_0903100.1","20.8","43.86","64.5","76.92","79.71","56.6","54.57","41.69","17.63","38.29","57.17","69.32","72.51","52.18","50.41","37.72","1.32","2.26","4.15","13.86","51.29","50.49","54.57","19.33"
"PF3D7_0903600","PF3D7_0903600.1","1146.96","252.8","32.79","9.53","14.88","43.88","45.53","124.09","966.37","220.93","29.34","8.54","13.56","40.26","42.1","111.15","72.6","13.01","2.11","1.72","9.58","39.15","45.53","57.51"
"PF3D7_0903600","PF3D7_0903600.2","1146.96","252.8","32.79","9.53","14.88","43.88","45.53","124.09","966.37","220.93","29.34","8.54","13.56","40.26","42.1","111.15","72.6","13.01","2.11","1.72","9.58","39.15","45.53","57.51"
"PF3D7_0903700","PF3D7_0903700.1","21.21","17.68","9.15","9.49","37.89","157.6","216.32","384.24","18.08","15.68","8.2","8.76","34.63","144.23","199.73","343.31","1.34","0.91","0.59","1.71","24.38","140.6","216.32","178.09"
"PF3D7_0904700","PF3D7_0904700.1","18.25","8.1","4.58","4.92","16.8","48.02","177.32","231.21","15.33","7.18","4.04","4.37","15.23","44.07","163.09","206.05","1.15","0.42","0.29","0.89","10.81","42.84","177.32","107.16"
"PF3D7_0904800","PF3D7_0904800.1","14.37","5.14","2.9","12.4","72.86","145.6","180.95","168.66","12.13","4.53","2.56","11.13","66.05","133.05","166.92","150.66","0.91","0.26","0.19","2.23","46.89","129.89","180.95","78.17"
"PF3D7_0906400","PF3D7_0906400.1","2.17","3.01","1.64","1.67","0.74","1.16","0.85","0.88","1.97","3.03","1.76","1.95","1.25","1.45","1.41","1.29","0.14","0.15","0.11","0.3","0.48","1.04","0.85","0.41"
"PF3D7_0907400","PF3D7_0907400.1","30.31","13.93","23.88","43.95","58.39","67.83","100.07","155.68","25.6","12.29","21.18","39.18","53.15","62.01","92.28","139.17","1.92","0.72","1.54","7.92","37.58","60.51","100.07","72.16"
"PF3D7_0909600","PF3D7_0909600.1","17.71","8.95","3.38","4.58","15.92","45.84","101.91","141.85","15.03","7.92","3.17","4.27","14.6","42.07","94.02","126.7","1.12","0.46","0.22","0.83","10.25","40.9","101.91","65.75"
"PF3D7_0911600","PF3D7_0911600.1","7.74","4.88","1.84","1.37","7.74","30.21","74.85","64.55","6.51","4.56","2.14","1.86","7.42","27.83","69.87","57.81","0.49","0.25","0.12","0.25","4.98","26.95","74.85","29.92"
"PF3D7_0912400","PF3D7_0912400.1","14.57","12.59","12.21","24.45","60.41","157.89","189.55","132.11","12.44","11.2","10.84","21.9","54.82","143.92","174.63","117.99","0.92","0.65","0.79","4.4","38.88","140.86","189.55","61.23"
"PF3D7_0913100","PF3D7_0913100.1","0.59","0.36","0.61","1.6","9.32","18.71","11.54","4.21","0.88","0.38","0.73","1.69","8.71","17.29","10.93","4.05","0.04","0.02","0.04","0.29","6","16.69","11.54","1.95"
"PF3D7_0913200","PF3D7_0913200.1","333.12","792.35","1245.45","1373.69","1516.47","1527.35","1388.58","796.08","280.88","690.16","1099.76","1221.48","1377.38","1393.45","1279.41","710.07","21.09","40.79","80.15","247.53","975.91","1362.59","1388.58","368.97"
"PF3D7_0915200","PF3D7_0915200.1","4.34","11.33","15.55","13.55","19.33","28.25","32.21","16.3","3.74","9.94","13.72","12.4","17.76","25.93","29.83","14.61","0.27","0.58","1","2.44","12.44","25.2","32.21","7.55"
"PF3D7_0915500","PF3D7_0915500.1","0.95","0.6","1.11","0.7","3.7","6.02","6.39","3.26","1.06","0.6","1.07","0.8","3.5","5.78","6.04","2.95","0.06","0.03","0.07","0.13","2.38","5.37","6.39","1.51"
"PF3D7_0915600","PF3D7_0915600.1","97.29","205.42","222.55","213.92","200.57","142.15","91.25","46.72","82.25","179.17","196.99","191.03","182.14","130.39","84.11","41.75","6.16","10.58","14.32","38.55","129.07","126.81","91.25","21.65"
"PF3D7_0917400","PF3D7_0917400.1","23.72","5.6","1.5","0.52","0.83","2.54","6.8","41.38","20.25","4.99","1.65","0.99","1.05","2.59","6.66","37.12","1.5","0.29","0.1","0.09","0.53","2.27","6.8","19.18"
"PF3D7_API02100","PF3D7_API02100.1","0.27","0","0","0","0.22","0.28","0","0.49","0.46","0","0","0","0.4","0.25","0.34","1.1","0.02","0","0","0","0.14","0.25","0","0.23"
"PF3D7_0918500","PF3D7_0918500.1","23.62","14.82","7.44","11.76","42.69","150.45","177.82","238.2","21.74","14.62","8.21","11.85","40.48","138.69","166.98","214.67","1.5","0.76","0.48","2.12","27.47","134.22","177.82","110.4"
"PF3D7_0919000","PF3D7_0919000.1","825.53","1458.19","1285.68","1042.72","800.65","1145.52","1341.34","1192.7","698.07","1276.74","1139.43","929.89","730.92","1049.98","1250.4","1069.44","52.26","75.07","82.74","187.89","515.25","1021.95","1341.34","552.8"
"PF3D7_API02900","PF3D7_API02900.1","1.28","0.45","0.49","0.33","0.89","1.67","3.08","5.82","1.07","0.39","0.5","0.29","0.81","1.52","2.88","5.26","0.08","0.02","0.03","0.06","0.57","1.49","3.08","2.7"
"PF3D7_0919400","PF3D7_0919400.1","6.45","4.11","2.6","1.3","2.46","24.74","80.46","142.64","5.47","3.63","2.29","1.32","2.33","22.59","74.38","127.17","0.41","0.21","0.17","0.23","1.59","22.07","80.46","66.11"
"PF3D7_API03700","PF3D7_API03700.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.18","0","0","0","0","0","0","0","0"
"PF3D7_API04200","PF3D7_API04200.1","0.07","0.03","0.03","0.07","0","0","0.05","0.03","0.09","0.03","0.06","0.06","0","0","0.07","0.06","0","0","0","0.01","0","0","0.05","0.02"
"PF3D7_API04600","PF3D7_API04600.1","0","0","0","0","1.09","0","0.46","0","0","0","0","0","0.98","0","0.42","0","0","0","0","0","0.7","0","0.46","0"
"PF3D7_API04800","PF3D7_API04800.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PF3D7_0922000","PF3D7_0922000.1","1.11","1.72","1.39","1.34","1","4.74","5.35","3.85","1.08","1.76","1.44","1.48","1.06","4.84","5.24","3.46","0.07","0.09","0.09","0.24","0.64","4.23","5.35","1.78"
"PF3D7_0922300","PF3D7_0922300.1","6.1","4.77","2.44","2.64","1.97","7.53","8.15","4.24","5.21","4.57","2.34","2.53","1.86","7.17","7.71","4.05","0.39","0.25","0.16","0.48","1.27","6.72","8.15","1.97"
"PF3D7_0922500","PF3D7_0922500.1","53.41","337.56","771.01","907.05","1092.9","1345.99","899.22","442.59","45.09","294.21","680.53","806.19","991.53","1226.6","827.61","395.04","3.38","17.38","49.62","163.44","703.32","1200.79","899.22","205.13"
"PF3D7_0923300","PF3D7_0923300.1","1.28","3.82","4.44","6.5","6.49","3.55","1.54","1.24","1.15","3.35","3.95","5.88","6.01","3.28","1.52","1.18","0.08","0.2","0.29","1.17","4.18","3.17","1.54","0.58"
"PF3D7_0923400","PF3D7_0923400.1","10.39","64.22","121.46","119.54","128.33","117.43","102.72","54.68","9.11","57.09","109.4","108.09","118.39","109.54","96.36","49.84","0.66","3.31","7.82","21.54","82.58","104.76","102.72","25.34"
"PF3D7_0923500","PF3D7_0923500.1","4.79","3.95","1.59","1.96","3.47","11.59","31.39","42.86","6.33","4.56","4.04","4.39","5.01","12.75","31.63","39.39","0.3","0.2","0.1","0.35","2.23","10.34","31.39","19.87"
"PF3D7_0924400","PF3D7_0924400.1","232.12","102.48","70.29","62.65","67.92","77.89","102.87","102.98","206.23","94.3","66.37","58.79","65.91","74.98","99.81","97.75","14.69","5.28","4.52","11.29","43.71","69.49","102.87","47.73"
"PF3D7_0925100","PF3D7_0925100.1","1.82","2.04","2.03","2.21","2.2","2.08","1.24","2.48","1.7","1.85","2.04","2.31","2.36","2.08","1.45","2.21","0.11","0.1","0.13","0.4","1.41","1.85","1.24","1.15"
"PF3D7_0925200","PF3D7_0925200.1","149.13","356.5","412.93","322.38","228.91","175.88","116.13","47.24","126.17","311.41","366.2","288","209.3","161.89","108.19","42.58","9.44","18.35","26.57","58.09","147.31","156.91","116.13","21.89"
"PF3D7_0925900","PF3D7_0925900.1","1328.78","1081.86","945.83","1025.95","1854.46","1516.21","713.2","266.35","1117.96","941.89","835.14","912.46","1683.56","1382.38","656.55","237.49","84.11","55.7","60.87","184.87","1193.42","1352.65","713.2","123.45"
"PF3D7_0927200","PF3D7_0927200.1","14.22","4.65","2.24","1.46","0.92","1.02","2.33","2.76","12.15","4.18","2.12","1.48","0.99","1.21","2.37","2.64","0.9","0.24","0.14","0.26","0.59","0.91","2.33","1.28"
"PF3D7_0928400","PF3D7_0928400.1","18.68","51.68","53.44","72.03","59.13","50.33","54.83","71.04","15.83","45.2","47.39","64.08","53.94","45.83","50.43","63.31","1.18","2.66","3.44","12.98","38.05","44.9","54.83","32.93"
"PF3D7_0929100","PF3D7_0929100.1","6.35","4.32","2.74","4.89","12.06","69.39","87.84","61.1","5.59","3.91","2.59","4.68","11.83","63.37","81.17","54.7","0.4","0.22","0.18","0.88","7.76","61.9","87.84","28.32"
"PF3D7_0930300","PF3D7_0930300.1","3265.2","867.48","111.34","22.47","5.43","67.5","755.16","2626.34","2765.83","763.06","99.33","20.38","5.04","62.3","698.82","2367.33","206.68","44.66","7.17","4.05","3.5","60.22","755.16","1217.29"
"PF3D7_0930700","PF3D7_0930700.1","3.47","16.24","32.63","29.89","42.07","34.43","24.94","10.66","3.23","14.42","29.15","26.85","38.3","31.71","22.99","9.8","0.22","0.84","2.1","5.39","27.07","30.72","24.94","4.94"
"PF3D7_0931200","PF3D7_0931200.1","6.09","22.34","33.79","33.71","26.65","29.64","58.61","54.79","5.63","19.43","29.92","30.44","24.6","27.27","54.1","48.83","0.39","1.15","2.17","6.07","17.15","26.44","58.61","25.39"
"PF3D7_0931800","PF3D7_0931800.1","42.69","49.46","78.11","103.67","180.86","246.59","300.66","335.04","36.29","43.12","68.88","92.35","164.22","225","276.84","299.28","2.7","2.55","5.03","18.68","116.39","219.99","300.66","155.29"
"PF3D7_0932200","PF3D7_0932200.1","1113.88","267.19","34.08","15.35","57.64","315.15","550.33","1779.51","936.36","232.47","30.22","13.97","52.4","286.96","506.78","1586.54","70.51","13.76","2.19","2.77","37.1","281.15","550.33","824.79"
"PF3D7_0932900","PF3D7_0932900.1","6.17","3.1","2.74","1.68","3.2","2.72","2.85","2.81","5.18","2.69","2.41","1.68","3.06","2.89","2.62","2.68","0.39","0.16","0.18","0.3","2.06","2.43","2.85","1.3"
"PF3D7_0933700","PF3D7_0933700.1","14.2","16.3","13.04","12.1","7.48","26.32","62.3","80.71","11.93","14.18","11.5","10.9","6.78","24.14","57.77","72.38","0.9","0.84","0.84","2.18","4.81","23.48","62.3","37.41"
"PF3D7_0934600","PF3D7_0934600.1","180.65","49.48","23.22","12.02","3.74","3.63","5.3","19.58","152.27","43.19","21.1","11.14","3.52","3.3","5.11","17.6","11.44","2.55","1.49","2.17","2.4","3.23","5.3","9.08"
"PF3D7_0934700","PF3D7_0934700.1","111.77","127.73","155.32","187.06","202.67","233.4","247","235.49","94.59","111.89","137.85","167.41","184.49","213.39","227.74","210.62","7.07","6.58","10","33.71","130.42","208.23","247","109.15"
"PF3D7_0935200","PF3D7_0935200.1","79.46","134.3","137.33","118.33","83.09","123.87","127.83","92.9","71.75","122.4","125.97","110.09","79.52","119.03","122.46","85.62","5.03","6.91","8.84","21.32","53.47","110.51","127.83","43.06"
"PF3D7_0935700","PF3D7_0935700.1","247.15","161.94","125.44","97.36","99.41","24.27","6.65","8.59","208.11","140.9","110.76","87","90.11","22.1","6.12","7.65","15.64","8.34","8.07","17.54","63.97","21.66","6.65","3.98"
"PF3D7_0936200","PF3D7_0936200.1","2.18","7.01","23.43","111.68","236.81","130.62","54.27","20.83","1.83","6.52","20.97","99.3","214.93","118.93","50.03","18.56","0.14","0.36","1.51","20.12","152.39","116.53","54.27","9.65"
"PF3D7_0937400","PF3D7_0937400.1","0.97","0.51","0.19","0.46","0.16","0","0","0.18","2.78","1.56","0.49","0.74","0.5","0.18","0","0.63","0.06","0.03","0.01","0.08","0.1","0","0","0.08"
"PF3D7_0800200","PF3D7_0800200.1","0.65","0.36","0.48","0.81","1.18","0.39","0.78","2.15","0.71","0.37","0.53","0.82","1.27","0.51","0.86","2.14","0.04","0.02","0.03","0.15","0.76","0.35","0.78","1"
"PF3D7_0800300","PF3D7_0800300.1","0.61","0.62","0.56","0.63","1.32","1.14","1.4","2.72","3.7","1.92","1.82","2.07","5.27","3.82","4.53","8.9","0.04","0.03","0.04","0.11","0.85","1.01","1.4","1.26"
"PF3D7_0801600","PF3D7_0801600.1","0.83","2.44","2.39","2.65","4.71","13.45","17.42","15.19","0.93","2.12","2.11","2.35","4.27","12.25","16.37","13.76","0.05","0.13","0.15","0.48","3.03","12","17.42","7.04"
"PF3D7_0802100","PF3D7_0802100.1","40.4","10.77","2.96","1.76","1.57","6.81","35.31","93.78","34.84","9.89","3.01","1.92","1.88","6.78","33.18","84.16","2.56","0.55","0.19","0.32","1.01","6.08","35.31","43.47"
"PF3D7_0802800","PF3D7_0802800.1","86.24","21.2","3.6","1.82","1.17","3.58","28.79","137.31","72.91","18.58","3.32","1.62","1.19","3.47","26.73","122.89","5.46","1.09","0.23","0.33","0.75","3.19","28.79","63.64"
"PF3D7_0803200","PF3D7_0803200.1","117.93","29.03","7.99","5.45","3.45","18.45","105.2","354.08","100.07","25.81","7.25","5.01","3.2","17.34","97.14","316.92","7.46","1.49","0.51","0.98","2.22","16.46","105.2","164.11"
"PF3D7_0803500","PF3D7_0803500.1","97.78","28.58","10.43","10.61","12.03","11.13","10.47","11.32","134.37","40.46","15.43","14.11","19.41","17.38","16.49","15.34","6.19","1.47","0.67","1.91","7.74","9.93","10.47","5.25"
"PF3D7_0803900","PF3D7_0803900.1","9.7","7.81","11.59","26.99","22.16","26.63","34.14","28.71","10.19","7.41","10.91","23.96","20.68","27.28","32.41","27.56","0.61","0.4","0.75","4.86","14.26","23.76","34.14","13.31"
"PF3D7_0804100","PF3D7_0804100.1","6.18","4.34","8.28","11.79","9.97","14","5.05","1.13","5.19","3.78","7.3","10.47","9.04","12.75","5.42","1","0.39","0.22","0.53","2.13","6.42","12.49","5.05","0.52"
"PF3D7_0804400","PF3D7_0804400.1","3.31","2.28","1.22","2.21","10.67","24.53","45.4","47.79","3.02","2.49","1.55","2.08","9.95","22.6","41.88","42.9","0.21","0.12","0.08","0.4","6.87","21.88","45.4","22.15"
"PF3D7_0804500","PF3D7_0804500.1","15.85","18.05","34.53","45.51","57.43","59.93","82.12","84.32","14.3","16.57","31.34","41.59","53.6","56.3","77.97","76.99","1","0.93","2.22","8.2","36.96","53.47","82.12","39.08"
"PF3D7_0804600","PF3D7_0804600.1","31.31","60.53","74.44","75.71","83.88","68.44","54.88","35.34","26.57","52.86","65.86","67.32","76.45","62.73","50.79","31.9","1.98","3.12","4.79","13.64","53.98","61.06","54.88","16.38"
"PF3D7_0805700","PF3D7_0805700.1","7.01","2.11","0.85","0.32","1.57","5.91","24.97","52.19","6.05","1.96","0.81","0.45","1.51","5.52","23.12","46.8","0.44","0.11","0.05","0.06","1.01","5.27","24.97","24.19"
"PF3D7_0807200","PF3D7_0807200.1","10.21","35.36","69.89","64.42","45.2","50.23","44.27","32.06","8.65","30.89","61.71","57.47","41.03","45.97","40.98","28.91","0.65","1.82","4.5","11.61","29.08","44.81","44.27","14.86"
"PF3D7_0807800","PF3D7_0807800.1","79.05","102.43","142.45","158.14","173.23","199.63","238.56","260.78","108.61","147.15","190.64","223.79","251.81","304.13","360.28","339.05","5","5.27","9.17","28.5","111.48","178.09","238.56","120.87"
"PF3D7_0809000","PF3D7_0809000.1","69.26","101.85","78.15","57.18","35.15","23.24","21.21","19.14","58.85","88.62","68.92","51.42","32.43","21.16","19.51","17.06","4.38","5.24","5.03","10.3","22.62","20.73","21.21","8.87"
