Gene ID;source_id;antisense - 40-5 hours post-invasion - unique only;antisense - 2-10 hours post-invasion - unique only;antisense - 7-15 hours post-invasion - unique only;antisense - 12-20 hours post-invasion - unique only;antisense - 17-25 hours post-invasion - unique only;antisense - 22-30 hours post-invasion - unique only;antisense - 27-35 hours post-invasion - unique only;antisense - 32-40 hours post-invasion - unique only;sense - 40-5 hours post-invasion - unique only;sense - 2-10 hours post-invasion - unique only;sense - 7-15 hours post-invasion - unique only;sense - 12-20 hours post-invasion - unique only;sense - 17-25 hours post-invasion - unique only;sense - 22-30 hours post-invasion - unique only;sense - 27-35 hours post-invasion - unique only;sense - 32-40 hours post-invasion - unique only;antisense - 40-5 hours post-invasion;antisense - 2-10 hours post-invasion;antisense - 7-15 hours post-invasion;antisense - 12-20 hours post-invasion;antisense - 17-25 hours post-invasion;antisense - 22-30 hours post-invasion;antisense - 27-35 hours post-invasion;antisense - 32-40 hours post-invasion;sense - 40-5 hours post-invasion;sense - 2-10 hours post-invasion;sense - 7-15 hours post-invasion;sense - 12-20 hours post-invasion;sense - 17-25 hours post-invasion;sense - 22-30 hours post-invasion;sense - 27-35 hours post-invasion;sense - 32-40 hours post-invasion;scaled  antisense - 40-5 hours post-invasion - unique only;scaled  antisense - 2-10 hours post-invasion - unique only;scaled  antisense - 7-15 hours post-invasion - unique only;scaled  antisense - 12-20 hours post-invasion - unique only;scaled  antisense - 17-25 hours post-invasion - unique only;scaled  antisense - 22-30 hours post-invasion - unique only;scaled  antisense - 27-35 hours post-invasion - unique only;scaled  antisense - 32-40 hours post-invasion - unique only;scaled  sense - 40-5 hours post-invasion - unique only;scaled  sense - 2-10 hours post-invasion - unique only;scaled  sense - 7-15 hours post-invasion - unique only;scaled  sense - 12-20 hours post-invasion - unique only;scaled  sense - 17-25 hours post-invasion - unique only;scaled  sense - 22-30 hours post-invasion - unique only;scaled  sense - 27-35 hours post-invasion - unique only;scaled  sense - 32-40 hours post-invasion - unique only
PF3D7_0219400;PF3D7_0219400.1;0.91;0.56;0.43;0.69;0.22;0.22;0.15;0;284.21;223.82;234.31;349.3;479.19;608.41;886.37;1503.44;0.76;0.5;0.39;0.62;0.2;0.2;0.14;0;238.16;201.82;213.36;314.72;438.26;554.12;814.04;1358.37;1.25;0.56;0.49;0.88;0.84;1.23;1.58;0;391.36;223.82;267.11;443.61;1868.86;3440.37;9325.02;18071.74
PF3D7_0219400;PF3D7_0219400.2;0.91;0.56;0.43;0.69;0.22;0.22;0.15;0;284.21;223.82;234.31;349.3;479.19;608.41;886.37;1503.44;0.76;0.5;0.39;0.62;0.2;0.2;0.14;0;238.16;201.82;213.36;314.72;438.26;554.12;814.04;1358.37;1.25;0.56;0.49;0.88;0.84;1.23;1.58;0;391.36;223.82;267.11;443.61;1868.86;3440.37;9325.02;18071.74
PF3D7_0220500;PF3D7_0220500.1;0;0;0;0.05;0;0;0.11;0;78.76;13.07;7.46;4.76;7.67;5.4;3.33;4.27;0.06;0;0;0.05;0;0;0.1;0;570.09;127.16;60.23;60.13;61.59;42.35;22.24;26.31;0;0;0;0.07;0;0;1.19;0;108.45;13.07;8.5;6.04;29.91;30.55;35.06;51.3
PF3D7_0221400;PF3D7_0221400.1;0;0.06;0;0.05;0.07;0;0;0;0;0;0;0;0.07;0.07;0.2;0.04;0;0.06;0;0.04;0.07;0;0;0.04;0.15;0;0;0;0.07;0.2;0.18;0.11;0;0.06;0;0.06;0.28;0;0;0;0;0;0;0;0.28;0.41;2.1;0.47
PF3D7_0221700;PF3D7_0221700.1;0;0;0.04;0;0;0;0;0;21.66;25.35;27.63;22.65;21.65;12.31;2.89;1.07;0.03;0;0.04;0;0;0;0;0.02;52.69;38.81;43.01;35.78;30.58;18.31;5.05;2.1;0;0;0.05;0;0;0;0;0;29.83;25.35;31.5;28.76;84.42;69.58;30.43;12.81
PF3D7_0222900;PF3D7_0222900.1;0;0.04;0;0;0;0;0;0;0;0;0.05;0;0.1;0;0.03;0;0;0.26;0.22;0.06;0.09;0;0;0.02;0.14;0.42;0.09;0.22;0.49;0.36;0.12;0.1;0;0.04;0;0;0;0;0;0;0;0;0.05;0;0.38;0;0.36;0
PF3D7_0223400;PF3D7_0223400.1;1.47;4.73;3.99;7.85;6.63;1.49;0.56;0.88;1.41;0.92;0.33;0.21;0.2;0;0.56;2.08;1.37;5.25;5.09;8.58;7.46;2.04;1.03;1.05;1.66;0.99;0.3;0.31;0.67;0.12;0.6;2.54;2.02;4.73;4.55;9.97;25.85;8.45;5.91;10.53;1.95;0.92;0.38;0.27;0.78;0;5.91;25
PF3D7_0300200;PF3D7_0300200.1;0.45;0.35;0.67;0.34;0.27;0.27;0.42;0.07;0.17;0.58;0.13;0.22;0.13;0;0.23;0.77;0.71;0.89;1.7;2.21;1.66;0.81;0.56;0.17;0.57;0.94;0.36;0.39;0.43;0.12;0.3;1.98;0.62;0.35;0.76;0.44;1.05;1.54;4.45;0.88;0.23;0.58;0.15;0.27;0.52;0;2.47;9.24
PF3D7_0300700;PF3D7_0300700.1;0.05;0.21;0.12;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0.04;0.18;0.11;0.03;0;0;0;0;0.04;0;0;0;0;0.05;0;0;0.07;0.21;0.13;0.05;0;0;0;0;0;0;0;0;0;0;0;0
PF3D7_0300800;PF3D7_0300800.1;0;0.12;0.07;0;0.07;0.07;0.05;0.11;0;0.06;0;0;0;0;0;0;0.19;0.32;0.37;0.12;0.25;0.06;0.04;0.13;0;0.05;0;0.04;0.12;0.06;0.04;0.03;0;0.12;0.08;0;0.27;0.39;0.5;1.34;0;0.06;0;0;0;0;0;0
