Gene ID;source_id;Product Description;Min %ile (Within Chosen Samples);Max %ile (Within Chosen Samples);P. falciparum Newbold mRNA Seq data - 0 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 8 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 16 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 24 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 32 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 40 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 48 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 0 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 8 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 16 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 24 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 32 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 40 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 48 hours - nonunique (Pf3D7 blood stage RNAseq)
PF3D7_0100100;PF3D7_0100100.1;erythrocyte membrane protein 1, PfEMP1;33.7;57.2;13.48;18.05;19.29;17.03;19.8;34.37;29.72;13.63;19.5;21.98;13.55;14.65;29.59;31.08
PF3D7_0100200;PF3D7_0100200.1;rifin;7.3;29.4;7.69;7.69;3.35;10.21;3;4.07;9.22;9.32;10.12;4.26;6.85;0.59;10.01;8.95
PF3D7_0100300;PF3D7_0100300.1;erythrocyte membrane protein 1, PfEMP1;8.3;34.2;7.55;9.61;5.03;4.15;3.75;4.58;6.46;18.17;27.83;18.52;9.56;5.19;9.21;10.07
PF3D7_0100400;PF3D7_0100400.1;rifin;16.9;50.3;7.33;10;12.93;12.5;13.36;16.32;9.85;6.91;12.38;14.59;11.5;10.56;19.03;17.38
PF3D7_0100500;PF3D7_0100500.1;erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene;0;49.7;0;0;0;34.05;0;0;16.4;5.52;0;0;25.78;10.55;32.36;25.32
PF3D7_0100600;PF3D7_0100600.1;rifin;0;18.5;0.51;1.64;1.03;7.06;0;3.76;1.7;1.72;2.62;0.91;4.86;0;7.97;10.88
PF3D7_0100700;PF3D7_0100700.1;Plasmodium exported protein, unknown function, fragment;0;22.8;0;0;2.73;0;0;0;0;0;1.54;1.6;0;0;8.88;23.83
PF3D7_0100800;PF3D7_0100800.1;rifin;0;20.4;0.53;1.14;0;4.91;5.78;11.76;5.33;1.49;0.91;0.32;2.54;2.85;5.69;3.13
PF3D7_0100900;PF3D7_0100900.1;rifin;8.1;28.6;2.6;1.12;3.7;9.66;5.68;9.63;17.45;2.35;2.09;3.41;5.98;1.68;6.88;8.85
PF3D7_0101000;PF3D7_0101000.1;rifin;0;12.5;2.54;0.55;1.03;0;2.78;3.77;1.71;2.59;2.34;0.91;2.19;0.55;2.52;1.88
