"Gene ID","source_id","sense - T05 - unique only","sense - T10 - unique only","sense - T15 - unique only","sense - T20 - unique only","sense - T25 - unique only","sense - T30 - unique only","sense - T35 - unique only","sense - T40 - unique only","antisense - T05 - unique only","antisense - T10 - unique only","antisense - T15 - unique only","antisense - T20 - unique only","antisense - T25 - unique only","antisense - T30 - unique only","antisense - T35 - unique only","antisense - T40 - unique only","sense - T05","sense - T10","sense - T15","sense - T20","sense - T25","sense - T30","sense - T35","sense - T40","antisense - T05","antisense - T10","antisense - T15","antisense - T20","antisense - T25","antisense - T30","antisense - T35","antisense - T40"
"PF3D7_0900400","PF3D7_0900400.1","0","0","0","0.34","0.3","0","0.08","0.69","2.43","0.55","0.38","0.94","0.52","0.33","0","0.86","0","0","0","0.47","0.41","0.15","0.37","5.28","9.43","3.74","2.58","9.9","7.4","3.31","2.47","8.82"
"PF3D7_0900700","PF3D7_0900700.1","0","0","0","0","0","0.07","0","1.17","0","0","0","0","0","0","0.07","0.93","0","0","0","0.07","0","0.07","0","1.43","0","0.22","0.31","0","0","0","0.07","1.43"
"PF3D7_0900800","PF3D7_0900800.1","0.82","1.53","1.72","1.29","0.23","0.13","0.12","0.52","0","0","0","0.06","0","0","0","0.33","70.23","186.16","201.61","143.29","25.79","15.21","8.59","9.38","0.11","0.43","0.39","0.29","0.1","0.12","0.34","5.4"
"PF3D7_0901500","PF3D7_0901500.1","0.17","0","0.09","0.16","0","0.08","0.07","0.32","0","0.09","0.09","0","0","0","0","0.32","0.21","0","0.08","0.22","0","0.07","0.07","0.5","0.07","0.08","0.08","0","0","0","0","0.64"
"PF3D7_0902900","PF3D7_0902900.1","0","1.23","3.18","1.72","0.25","0.83","1.07","1.73","2.41","0.62","7","64.19","40.81","31.29","20.24","14.99","0","1.09","2.87","1.56","0.23","0.77","1.25","1.51","1.95","0.54","6.32","58.31","37.29","29.05","19.02","13.09"
"PF3D7_0903100","PF3D7_0903100.1","14.43","37.99","43.15","78.18","67.79","69.33","46.02","37.63","0.31","0.63","1.62","1.9","2.43","1.27","2.72","4.56","11.82","33.53","39.14","71.01","61.94","64.36","43.26","32.99","0.25","0.55","1.47","1.73","2.22","1.18","2.55","3.98"
"PF3D7_0903600","PF3D7_0903600.1","714.85","269.43","34.36","6.59","12.3","39.47","33.87","79.68","0.45","0.17","0.17","0.16","0","0.07","0.29","2.26","579.84","237.89","31.05","5.99","11.27","36.64","31.87","69.68","0.36","0.15","0.19","0.14","0","0.07","0.3","1.98"
"PF3D7_0903600","PF3D7_0903600.2","714.85","269.43","34.36","6.59","12.3","39.47","33.87","79.68","0.45","0.17","0.17","0.16","0","0.07","0.29","2.26","579.84","237.89","31.05","5.99","11.27","36.64","31.87","69.68","0.36","0.15","0.19","0.14","0","0.07","0.3","1.98"
"PF3D7_0903700","PF3D7_0903700.1","41.32","15.09","8.3","6.11","35.39","141.23","226.22","216.36","0.27","0.07","0.07","0.46","1.14","0.5","0.06","1.24","33.56","13.32","7.5","5.55","32.34","131.33","212.67","188.98","0.22","0.12","0.07","0.41","1.04","0.58","0.06","1.09"
"PF3D7_0904700","PF3D7_0904700.1","27.74","9.68","1.72","1.55","13.3","38.43","157.33","225.68","2.77","1.5","1.9","3.42","4.07","2.1","3.46","2.97","22.49","8.69","1.56","1.41","12.28","35.67","148","197.19","2.25","1.33","1.71","3.1","3.72","1.95","3.26","2.59"
