"","Gene_id","Variant","Percent_12B","Percent_10G","Percent_3D7B","MaxRedPercentDif","MeanRedPercent","MaxRedPercent","Interval","areaFC","area_12B","area_10G","area_3D7B","MaxArea","MinArea","MeanPercent","rel_12B","rel_10G","rel_3D7B","Gene_name","Annot","state_12B","state_10G","state_3D7B","category_12B","category_10G","category_3D7B"
"1","mal_mito_3",FALSE,96.0466004583652,98.4721161191749,97.8800611153552,2.42551566080978,97.4662592309651,98.4721161191749,"Left",0.388105977923598,30.5924955222685,25.3724701191961,25.4846340009129,30.5924955222685,25.3724701191961,92.5685110839588,"max","min","min","null","unspecified product","Active","Active","Active","Active","Active","Active"
"2","PF3D7_0100100",TRUE,5.69136745607334,10.9625668449198,11.1153552330023,5.42398777692895,9.25642984466514,11.1153552330023,"Left",0.887994522256097,31.7699764418334,43.7135027661779,38.2983891982238,43.7135027661779,31.7699764418334,21.6944492930703,"min","max","mid","VAR","erythrocyte membrane protein 1, PfEMP1","Var_Repressed_noFC","Var_Repressed_noFC","Var_Repressed_noFC","Var_Repressed","Var_Repressed","Var_Repressed"
"3","PF3D7_0100200",TRUE,29.755538579068,4.01069518716578,19.9006875477464,25.7448433919022,17.8889737713267,29.755538579068,"Right",3.50155616072704,52.3331959242033,5.23726556242459,43.0246037462164,52.3331959242033,5.23726556242459,16.4142956886019,"max","min","max","RIF","rifin","Var_Active_FC","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Active","Var_Repressed","Var_Repressed"
"4","PF3D7_0100300",TRUE,12.5668449197861,12.987012987013,81.340718105424,68.7738731856379,35.6315253374077,81.340718105424,"Left",3.39576566567848,31.789079679636,33.0739571308899,77.4621278830115,77.4621278830115,31.789079679636,7.49694536568337,"min","min","max","VAR","erythrocyte membrane protein 1, PfEMP1","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Active_FC","Var_Repressed","Var_Repressed","Var_Active"
"5","PF3D7_0100400",TRUE,9.89304812834225,1.05042016806723,8.05958747135218,8.84262796027502,6.33435192258722,9.89304812834225,"Left",2.06711544794692,23.218461307534,7.70683224658452,35.5095350214706,35.5095350214706,7.70683224658452,14.6076976784779,"mid","min","max","RIF","rifin","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed","Var_Repressed","Var_Repressed"
"6","PF3D7_0100600",TRUE,0.229182582123759,0.439266615737204,0.238731856378915,0.210084033613445,0.302393684746626,0.439266615737204,"No Data",NA,NA,NA,NA,NA,NA,4.78923023215221,NA,NA,NA,"RIF","rifin","Wrong!","Wrong!","Wrong!","No_Category!","No_Category!","No_Category!"
"7","PF3D7_0100800",TRUE,0.993124522536287,0.439266615737204,1.39419404125286,0.954927425515661,0.942195059842119,1.39419404125286,"No Data",NA,NA,NA,NA,NA,NA,3.72447198463955,NA,NA,NA,"RIF","rifin","Wrong!","Wrong!","Wrong!","No_Category!","No_Category!","No_Category!"
"8","PF3D7_0100900",TRUE,12.0893812070283,13.6554621848739,12.987012987013,1.56608097784568,12.9106187929717,13.6554621848739,"Left",0.98879317974348,34.4936789906731,32.7909245638597,46.0901928314095,46.0901928314095,32.7909245638597,7.89841159015535,"min","min","max","RIF","rifin","Var_Repressed_noFC","Var_Repressed_noFC","Var_Repressed_noFC","Var_Repressed","Var_Repressed","Var_Repressed"
"9","PF3D7_0101000",TRUE,8.17417876241406,8.72803666921314,9.47288006111535,1.2987012987013,8.79169849758085,9.47288006111535,"Left",0.995382172925613,57.738766280927,59.5610943005497,71.1266565067765,71.1266565067765,57.738766280927,2.35425030546343,"min","min","max","RIF","rifin","Var_Repressed_noFC","Var_Repressed_noFC","Var_Repressed_noFC","Var_Repressed","Var_Repressed","Var_Repressed"
"10","PF3D7_0101300",TRUE,7.63941940412529,6.30252100840336,22.5171886936593,16.2146676852559,12.153043035396,22.5171886936593,"Left",1.96278613379068,48.7354925155961,48.8980336835859,75.1349660150808,75.1349660150808,48.7354925155961,31.1769069645662,"min","min","max","MC-2TM","Pfmc-2TM Maurer's cleft two transmembrane protein","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed","Var_Repressed","Var_Repressed"
"11","PF3D7_0101600",TRUE,1.89075630252101,2.55920550038197,1.20320855614973,1.35599694423224,1.88439011968424,2.55920550038197,"No Data",NA,NA,NA,NA,NA,NA,5.35651946238436,NA,NA,NA,"RIF","rifin","Wrong!","Wrong!","Wrong!","No_Category!","No_Category!","No_Category!"
"12","PF3D7_0101800",TRUE,3.38044308632544,3.13216195569137,2.7501909854851,0.630252100840336,3.08759867583397,3.38044308632544,"No Data",NA,NA,NA,NA,NA,NA,2.55716529935416,NA,NA,NA,"null","stevor","Wrong!","Wrong!","Wrong!","No_Category!","No_Category!","No_Category!"
"13","PF3D7_0101900",TRUE,5.82505729564553,0.439266615737204,1.12681436210848,5.38579067990833,2.46371275783041,5.82505729564553,"No Data",NA,NA,NA,NA,NA,NA,3.17681968930005,NA,NA,NA,"RIF","rifin","Wrong!","Wrong!","Wrong!","No_Category!","No_Category!","No_Category!"
"14","PF3D7_0102000",TRUE,19.4041252864782,19.4614209320092,25.5920550038197,6.18792971734148,21.4858670741024,25.5920550038197,"Sides",0.709072615823272,43.1448569739945,43.8486783691091,34.3116516862861,43.8486783691091,34.3116516862861,6.64819340198988,"max","max","min","null","Plasmodium exported protein (PHISTa), unknown function, pseudogene","Var_Repressed_noFC","Var_Repressed_noFC","Var_Repressed_noFC","Var_Repressed","Var_Repressed","Var_Repressed"
"15","PF3D7_0102100",TRUE,13.5408708938121,11.1917494270435,6.28342245989305,7.25744843391902,10.3386809269162,13.5408708938121,"Mid",0.817893605205316,24.1230000956114,27.7358864867478,16.7352174967363,27.7358864867478,16.7352174967363,9.54355035782859,"max","max","min","null","stevor, pseudogene","Var_Repressed_noFC","Var_Repressed_noFC","Var_Repressed_noFC","Var_Repressed","Var_Repressed","Var_Repressed"
"16","PF3D7_0102200",TRUE,98.4530175706646,98.0328495034377,97.9564553093965,0.496562261268139,98.1474407944996,98.4530175706646,"Left",0.456720086160327,51.3094396642479,53.7500284873698,47.6071433285134,53.7500284873698,47.6071433285134,98.7475999301798,"mid","max","min","RESA","ring-infected erythrocyte surface antigen","Var_Active_noFC","Var_Active_noFC","Var_Active_noFC","Var_Active","Var_Active","Var_Active"
"17","PF3D7_0102300",FALSE,79.9274255156608,73.6249045072575,74.8281130634072,6.30252100840336,76.1268143621085,79.9274255156608,"Sides",0.279540186340037,30.114401084812,26.4064688899973,26.3545855785385,30.114401084812,26.3545855785385,95.2478617559784,"max","min","min","null","Plasmodium exported protein, unknown function","Active","Active","Active","Active","Active","Active"
"18","PF3D7_0102400",FALSE,29.1061879297173,35.6760886172651,28.7624140565317,6.91367456073338,31.1815635345047,35.6760886172651,"Mid",0.307122000922238,23.5584961248499,24.9311272812417,20.8003363688376,24.9311272812417,20.8003363688376,24.1228835747949,"max","max","min","null","lysophospholipase, putative, pseudogene","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
