Gene ID;source_id;Product Description;Chromosome;Genomic Location (Gene);Gene Name or Symbol;gene_source_id
PF3D7_0106300;PF3D7_0106300.1;calcium-transporting ATPase;1;Pf3D7_01_v3:265,208..269,173(-);ATP6;PF3D7_0106300
PF3D7_0107600;PF3D7_0107600.1;eukaryotic translation initiation factor 2-alpha kinase 2, putative;1;Pf3D7_01_v3:314,618..319,405(+);eIK2;PF3D7_0107600
PF3D7_0109800;PF3D7_0109800.1;phenylalanine--tRNA ligase alpha subunit;1;Pf3D7_01_v3:380,697..382,424(+);cPheRS;PF3D7_0109800
PF3D7_0202700;PF3D7_0202700.1;octaprenyl pyrophosphate synthase;2;Pf3D7_02_v3:135,523..137,139(+);OPP;PF3D7_0202700
PF3D7_0207300;PF3D7_0207300.1;serine repeat antigen 8;2;Pf3D7_02_v3:290,168..292,703(-);SERA8;PF3D7_0207300
PF3D7_0209800;PF3D7_0209800.1;ATP-dependent RNA helicase UAP56;2;Pf3D7_02_v3:404,281..406,355(-);UAP56;PF3D7_0209800
PF3D7_0211600;PF3D7_0211600.1;UDP-N-acetylglucosamine transferase subunit ALG14, putative;2;Pf3D7_02_v3:467,847..468,476(+);ALG14;PF3D7_0211600
PF3D7_0211700;PF3D7_0211700.1;tyrosine kinase-like protein, putative;2;Pf3D7_02_v3:469,790..473,491(+);TKL1;PF3D7_0211700
PF3D7_0213400;PF3D7_0213400.1;protein kinase 7;2;Pf3D7_02_v3:541,811..543,807(+);PK7;PF3D7_0213400
PF3D7_0214600;PF3D7_0214600.1;serine/threonine protein kinase, putative;2;Pf3D7_02_v3:594,196..599,340(+);null;PF3D7_0214600
PF3D7_0217500;PF3D7_0217500.1;calcium-dependent protein kinase 1;2;Pf3D7_02_v3:720,437..722,661(+);CDPK1;PF3D7_0217500
PF3D7_0302100;PF3D7_0302100.1;serine/threonine protein kinase;3;Pf3D7_03_v3:114,070..118,086(+);SRPK1;PF3D7_0302100
PF3D7_0303700;PF3D7_0303700.1;lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex;3;Pf3D7_03_v3:191,245..192,591(-);BCKDH-E2;PF3D7_0303700
PF3D7_0309000;PF3D7_0309000.1;dual specificity protein phosphatase;3;Pf3D7_03_v3:384,375..386,879(+);YVH1;PF3D7_0309000
PF3D7_0309200;PF3D7_0309200.1;serine/threonine protein kinase, putative;3;Pf3D7_03_v3:389,137..394,604(-);ARK2;PF3D7_0309200
PF3D7_0310100;PF3D7_0310100.1;calcium-dependent protein kinase 3;3;Pf3D7_03_v3:422,379..424,680(+);CDPK3;PF3D7_0310100
PF3D7_0311400;PF3D7_0311400.1;kinase-related protein PKRP, putative;3;Pf3D7_03_v3:488,804..496,510(+);PKRP;PF3D7_0311400
PF3D7_0311700;PF3D7_0311700.1;plasmepsin VI;3;Pf3D7_03_v3:502,698..505,848(+);PM6;PF3D7_0311700
PF3D7_0312100;PF3D7_0312100.1;E3 ubiquitin-protein ligase;3;Pf3D7_03_v3:513,752..516,262(+);null;PF3D7_0312100
