Gene ID;source_id;Product Description;Min %ile (Within Chosen Samples);Max %ile (Within Chosen Samples)
PF3D7_0100100;PF3D7_0100100.1;erythrocyte membrane protein 1, PfEMP1;33.7;57.2
PF3D7_0100200;PF3D7_0100200.1;rifin;7.3;29.4
PF3D7_0100300;PF3D7_0100300.1;erythrocyte membrane protein 1, PfEMP1;8.3;34.2
PF3D7_0100400;PF3D7_0100400.1;rifin;16.9;50.3
PF3D7_0100500;PF3D7_0100500.1;erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene;0;49.7
PF3D7_0100600;PF3D7_0100600.1;rifin;0;18.5
PF3D7_0100700;PF3D7_0100700.1;Plasmodium exported protein, unknown function, fragment;0;22.8
PF3D7_0100800;PF3D7_0100800.1;rifin;0;20.4
PF3D7_0100900;PF3D7_0100900.1;rifin;8.1;28.6
PF3D7_0101000;PF3D7_0101000.1;rifin;0;12.5
PF3D7_0101100;PF3D7_0101100.1;exported protein family 4;0;13.2
PF3D7_0101200;PF3D7_0101200.1;exported protein family 3;0;0
PF3D7_0101300;PF3D7_0101300.1;Pfmc-2TM Maurer's cleft two transmembrane protein;6.5;64.5
PF3D7_0101400;PF3D7_0101400.1;exported protein family 1, pseudogene;0;10
PF3D7_0101500;PF3D7_0101500.1;erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene;0;12.4
PF3D7_0101600;PF3D7_0101600.1;rifin;0;18.2
PF3D7_0101700;PF3D7_0101700.1;erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene;0;7.9
PF3D7_0101800;PF3D7_0101800.1;stevor;0;13.8
PF3D7_0101900;PF3D7_0101900.1;rifin;0;20.2
PF3D7_0102000;PF3D7_0102000.1;Plasmodium exported protein (PHISTa), unknown function, pseudogene;0;23.3
PF3D7_0102100;PF3D7_0102100.1;stevor, pseudogene;4.7;42.3
PF3D7_0102200;PF3D7_0102200.1;ring-infected erythrocyte surface antigen;74.5;99.9
PF3D7_0102300;PF3D7_0102300.1;Plasmodium exported protein, unknown function;13.7;97.1
PF3D7_0102400;PF3D7_0102400.1;lysophospholipase, putative, pseudogene;9.7;34.2
