"","Gene_id","Variant","areaFC","MeanRedPercent","Percent_12B","area_12B","rel_12B","state_12B","category_12B","Percent_10G","area_10G","rel_10G","state_10G","category_10G","Gene_name","Annot","TransDif","Dif_state"
"1","PF3D7_0100200",TRUE,3.48858743420583,18.0082559339525,29.9729102167183,52.3331959242033,"max","CVG_Active_FC","CVG_Active",4.02476780185759,5.23726556242459,"min","CVG_Silenced_FC","CVG_Silenced","RIF","rifin",TRUE,TRUE
"2","PF3D7_0100400",TRUE,2.05945946480638,6.38544891640867,9.96517027863777,23.218461307534,"mid","CVG_Silenced_FC_reddown","CVG_Silenced",1.06424148606811,7.70683224658452,"min","CVG_Silenced_FC_reddown","CVG_Silenced","RIF","rifin",TRUE,FALSE
"3","PF3D7_0115700",TRUE,1.17936660512128,3.09597523219814,1.64473684210526,13.7616818996475,"min","CVG_Silenced_FC_reddown","CVG_Silenced",5.3405572755418,29.6831310687848,"max","CVG_Silenced_FC_reddown","CVG_Silenced","VAR","erythrocyte membrane protein 1, PfEMP1",TRUE,FALSE
"4","PF3D7_0207000",FALSE,0.9,96.5750773993808,95.8010835913313,13.0925962914953,"min","Active","Active",97.2910216718266,33.6454835994415,"max","Active","Active","MSP4","merozoite surface protein 4",TRUE,FALSE
"5","PF3D7_0220800",TRUE,3.80298045158192,70.2979876160991,96.5944272445821,65.7620857608583,"max","CVG_Active_FC","CVG_Active",20.0077399380805,14.4218496645024,"min","CVG_Silenced_FC","CVG_Silenced","CLAG2","cytoadherence linked asexual protein 2",TRUE,TRUE
"6","PF3D7_0221900",TRUE,NA,7.64318885448916,4.29566563467492,NA,NA,"CVG_Silenced_FCna","CVG_Silenced",14.7058823529412,NA,NA,"CVG_Silenced_FCna","CVG_Silenced","null","erythrocyte membrane protein 1 (PfEMP1), pseudogene",TRUE,FALSE
"7","PF3D7_0302200",TRUE,4.80522566024607,73.6842105263158,78.9086687306501,37.3294797556105,"min","CVG_Silenced_FC","CVG_Silenced",99.593653250774,88.1957708995209,"max","CVG_Active_FC","CVG_Active","CLAG3.2","cytoadherence linked asexual protein 3.2",TRUE,TRUE
"8","PF3D7_0302500",TRUE,3.43948371327533,94.1369969040248,98.8390092879257,100.120651128324,"max","CVG_Active_FC","CVG_Active",84.5588235294118,53.6876209991071,"min","CVG_Silenced_FC","CVG_Silenced","CLAG3.1","cytoadherence linked asexual protein 3.1",TRUE,TRUE
"9","PF3D7_0324800",TRUE,2.00960760205327,11.4422084623323,18.3049535603715,36.6435986534844,"max","CVG_Active_FC","CVG_Active",7.23684210526316,9.51389602576523,"min","CVG_Silenced_FC","CVG_Silenced","RIF","rifin",TRUE,TRUE
"10","PF3D7_0400100",TRUE,0.992503963512304,6.57249742002064,5.55340557275542,17.5626722738151,"min","CVG_Silenced_noFC","CVG_Silenced",8.10758513931889,30.9614757812312,"max","CVG_Silenced_noFC","CVG_Silenced","VAR","erythrocyte membrane protein 1, PfEMP1",TRUE,FALSE
"11","PF3D7_0401900",TRUE,1.6687193765216,8.82352941176471,5.26315789473684,25.2791298284771,"mid","CVG_Semiactive_FC","CVG_Semiactive",2.84442724458204,14.6724594347895,"min","CVG_Silenced_FC","CVG_Silenced","ACS6","acyl-CoA synthetase",FALSE,TRUE
"12","PF3D7_0402000",TRUE,3.68722817796922,67.8663570691434,86.1455108359133,99.3212564958759,"max","CVG_Active_FC","CVG_Active",25.5417956656347,53.4334131644605,"min","CVG_Silenced_FC","CVG_Silenced","null","Plasmodium exported protein (PHISTa), unknown function",TRUE,TRUE
"13","PF3D7_0413100",TRUE,1.22655097367237,9.49432404540764,8.78482972136223,64.8734266135615,"max","CVG_Active_FC","CVG_Active",3.94736842105263,48.3149884689845,"min","CVG_Silenced_FC","CVG_Silenced","VAR","erythrocyte membrane protein 1, PfEMP1",TRUE,TRUE
"14","PF3D7_0421300",TRUE,2.35684073387648,17.8341073271414,7.35294117647059,35.3422201668507,"min","CVG_Silenced_FC","CVG_Silenced",14.6478328173375,47.7467765141488,"mid","CVG_Semiactive_FC","CVG_Semiactive","VAR","erythrocyte membrane protein 1, PfEMP1",FALSE,TRUE
"15","PF3D7_0425900",TRUE,2.29762546807652,17.0601135190918,9.50077399380805,23.9345066737429,"min","CVG_Silenced_FC","CVG_Silenced",25.1934984520124,54.9524504927759,"max","CVG_Active_FC","CVG_Active","RIF","rifin",TRUE,TRUE
"16","PF3D7_0426000",TRUE,1.54244544431483,4.20536635706914,2.1671826625387,32.8971017611027,"min","CVG_Silenced_FC_reddown","CVG_Silenced",7.62383900928793,53.7201152593529,"max","CVG_Silenced_FC_reddown","CVG_Silenced","VAR","erythrocyte membrane protein 1, PfEMP1",TRUE,FALSE
