"","Gene_id","Variant","areaFC","MeanRedPercent","Percent_12B","area_12B","rel_12B","state_12B","category_12B","Percent_10G","area_10G","rel_10G","state_10G","category_10G","Gene_name","Annot","TransDif","Dif_state"
"1","PF3D7_0100200",TRUE,4.38855487027124,37.1705500381971,29.755538579068,61.6285305095645,"max","Var_Active_FC","Var_Active",4.01069518716578,29.4897872509127,"mid","Var_Repressed_FC_noredpcnt","Var_Repressed","RIF","rifin",TRUE,TRUE
"2","PF3D7_0100400",TRUE,2.53432175783316,5.72956455309397,9.89304812834225,23.218461307534,"mid","Var_Repressed_FC_noredpcnt","Var_Repressed",1.05042016806723,7.70683224658452,"min","Var_Repressed_FC_noredpcnt","Var_Repressed","RIF","rifin",TRUE,FALSE
"3","PF3D7_0115700",TRUE,1.18375086759385,5.69136745607334,1.64247517188694,13.7616818996475,"min","Var_Repressed_FC_noredpcnt","Var_Repressed",5.30939648586707,29.6831310687848,"max","Var_Repressed_FC_noredpcnt","Var_Repressed","VAR","erythrocyte membrane protein 1, PfEMP1",TRUE,FALSE
"4","PF3D7_0207000",FALSE,3.70647759001862,96.8200916730328,95.7983193277311,59.2062775290251,"max","Active_FC","Active",97.2880061115355,64.4252428781059,"max","Active_FC","Active","MSP4","merozoite surface protein 4",TRUE,FALSE
"5","PF3D7_0219900",FALSE,1.13358995911152,47.7702444614209,37.5859434682964,34.0266443103025,"max","Active_FC_Dif_max","Active",27.8838808250573,26.6815586869594,"mid","Active_FC_Dif_mid","Active","null","Plasmodium exported protein, unknown function",FALSE,FALSE
"6","PF3D7_0220800",TRUE,3.81711792537962,74.6084797555386,96.5813598166539,65.7620857608583,"max","Var_Active_FC","Var_Active",19.9006875477464,14.4218496645024,"min","Var_Repressed_FC_noredpcnt","Var_Repressed","CLAG2","cytoadherence linked asexual protein 2",TRUE,TRUE
"7","PF3D7_0221900",TRUE,1.04898514832167,6.13540870893812,4.27807486631016,21.689040253097,"mid","Var_Repressed_FC_noredpcnt","Var_Repressed",14.572192513369,NA,NA,"Var_Repressed_FC_noredpcnt","Var_Repressed","null","erythrocyte membrane protein 1 (PfEMP1), pseudogene",TRUE,FALSE
"8","PF3D7_0302200",TRUE,4.82308895266334,73.6201298701299,78.6860198624905,37.3294797556105,"min","Var_Repressed_FC","Var_Repressed",99.5798319327731,88.1957708995209,"max","Var_Active_FC","Var_Active","CLAG3.2","cytoadherence linked asexual protein 3.2",TRUE,TRUE
"9","PF3D7_0302300",TRUE,2.00844550869021,29.2207792207792,20.4163483575248,24.015454075542,"min","Var_Repressed_FC_noredpcnt","Var_Repressed",25.9549274255157,25.8480534271244,"min","Var_Repressed_FC","Var_Repressed","null","erythrocyte membrane protein 1 (PfEMP1), pseudogene",FALSE,FALSE
"10","PF3D7_0302500",TRUE,3.45226989808304,95.1871657754011,98.8158899923606,100.120651128324,"max","Var_Active_FC","Var_Active",84.3964858670741,53.6876209991071,"min","Var_Repressed_FC","Var_Repressed","CLAG3.1","cytoadherence linked asexual protein 3.1",TRUE,TRUE
"11","PF3D7_0324800",TRUE,2.28778398138892,8.9572192513369,18.2009167303285,39.3834866534642,"max","Var_Repressed_FC_noredpcnt","Var_Repressed",7.18105423987777,14.4814911073354,"min","Var_Repressed_FC_noredpcnt","Var_Repressed","RIF","rifin",TRUE,FALSE
"12","PF3D7_0400100",TRUE,1.56577385904865,8.71848739495798,5.51948051948052,22.6314746469375,"mid","Var_Repressed_FC_noredpcnt","Var_Repressed",8.04048892284186,35.5804374438733,"max","Var_Repressed_FC_noredpcnt","Var_Repressed","VAR","erythrocyte membrane protein 1, PfEMP1",TRUE,FALSE
"13","PF3D7_0402000",TRUE,4.99314837448117,61.8267761650115,85.9434682964095,99.3212564958759,"max","Var_Active_FC","Var_Active",25.3819709702063,53.4334131644605,"min","Var_Repressed_FC","Var_Repressed","null","Plasmodium exported protein (PHISTa), unknown function",TRUE,TRUE
"14","PF3D7_0402100",TRUE,1.14839347178761,91.3006111535523,90.9281894576012,29.1806512490243,"max","Var_Active_FC","Var_Active",90.3552330022918,19.561376523169,"mid","Var_Semiactive_FC","Var_Semiactive","null","Plasmodium exported protein (PHISTb), unknown function",FALSE,TRUE
"15","PF3D7_0413100",TRUE,2.78167707386316,8.26012223071046,8.70893812070283,64.8734266135615,"max","Var_Repressed_FC_noredpcnt","Var_Repressed",3.93430099312452,48.3149884689845,"mid","Var_Repressed_FC_noredpcnt","Var_Repressed","VAR","erythrocyte membrane protein 1, PfEMP1",TRUE,FALSE
"16","PF3D7_0424000",FALSE,1.24193244076699,36.673987776929,25.6493506493506,50.3935289773224,"min","Inactive_FC_Dif_min","Inactive",28.9152024446142,56.1364896585252,"mid","Active_FC_Dif_mid","Active","null","Plasmodium exported protein (PHISTc), unknown function",FALSE,TRUE
"17","PF3D7_0425900",TRUE,3.35666970365497,13.1779984721161,9.43468296409473,23.9345066737429,"min","Var_Repressed_FC_noredpcnt","Var_Repressed",25.0381970970206,54.9524504927759,"max","Var_Active_FC","Var_Active","RIF","rifin",TRUE,TRUE
"18","PF3D7_0426000",TRUE,2.96040719486995,3.96772345301757,2.15813598166539,32.8971017611027,"mid","Var_Repressed_FC_noredpcnt","Var_Repressed",7.56302521008403,53.7201152593529,"max","Var_Repressed_FC_noredpcnt","Var_Repressed","VAR","erythrocyte membrane protein 1, PfEMP1",TRUE,FALSE
"19","PF3D7_0500100",TRUE,2.12783512925469,7.46753246753247,2.65469824293354,27.5530667717636,"mid","Var_Repressed_FC_noredpcnt","Var_Repressed",6.14973262032086,43.5609971661557,"max","Var_Repressed_FC_noredpcnt","Var_Repressed","VAR","erythrocyte membrane protein 1, PfEMP1",TRUE,FALSE
"20","PF3D7_0514600",FALSE,1.86758187501791,37.7291825821238,48.6822001527884,31.1063747190292,"mid","Active_FC_Dif_mid","Active",19.7860962566845,19.9383867832431,"min","Inactive_FC_Dif_min","Inactive","null","ribose-5-phosphate isomerase, putative",FALSE,TRUE
"21","PF3D7_0532600",TRUE,3.47512798251616,28.6955691367456,41.157372039725,82.3252054918622,"max","Var_Active_FC","Var_Active",11.0580595874714,51.2912874093808,"min","Var_Repressed_FC_noredpcnt","Var_Repressed","null","Plasmodium exported protein, unknown function",TRUE,TRUE
"22","PF3D7_0601200",TRUE,4.4648582440646,33.503628724217,35.5423987776929,57.0102044141079,"mid","Var_Semiactive_FC","Var_Semiactive",16.6730328495034,39.7366218178744,"min","Var_Repressed_FC_noredpcnt","Var_Repressed","MC-2TM","Pfmc-2TM Maurer's cleft two transmembrane protein",TRUE,TRUE
"23","PF3D7_0607900",FALSE,1.14601511952033,32.1046600458365,30.3284950343774,17.1356782695894,"min","Active_FC","Active",29.4690603514133,32.5495816271378,"max","Active_FC","Active","null","conserved Plasmodium protein, unknown function",TRUE,FALSE
"24","PF3D7_0632600",TRUE,2.03980904951085,57.2001527883881,71.9251336898396,42.2774001555063,"max","Var_Active_FC","Var_Active",18.8884644766998,14.8419684395853,"min","Var_Repressed_FC_noredpcnt","Var_Repressed","RIF","rifin, pseudogene",TRUE,TRUE
"25","PF3D7_0702100",TRUE,1.2852483712938,35.8861726508785,27.6355996944232,22.2533878157442,"max","Var_Active_FC","Var_Active",22.9373567608862,18.9209046393035,"max","Var_Repressed_FC_noredpcnt","Var_Repressed","null","Plasmodium exported protein (PHISTb), unknown function, pseudogene",FALSE,TRUE
"26","PF3D7_0706900",FALSE,1.83840743239648,5.46218487394958,7.54392666157372,24.6904881934918,"mid","Inactive_FC","Inactive",3.78151260504202,14.1590438404621,"min","Inactive_FC","Inactive","null","tRNA Histidine",TRUE,FALSE
"27","PF3D7_0711700",TRUE,7.43653824058923,42.2507639419404,97.9946524064171,107.552924785892,"max","Var_Active_FC","Var_Active",16.1955691367456,34.5471663804405,"min","Var_Repressed_FC_noredpcnt","Var_Repressed","VAR","erythrocyte membrane protein 1, PfEMP1",TRUE,TRUE
"28","PF3D7_0711900",TRUE,1.02459705911567,35.8050038197097,14.3621084797555,41.9357223016952,"max","Var_Repressed_FC_noredpcnt","Var_Repressed",17.8571428571429,28.1548918565894,"min","Var_Repressed_FC_noredpcnt","Var_Repressed","RIF","rifin, pseudogene",TRUE,FALSE
"29","PF3D7_0713300",TRUE,3.16883213286529,32.6919404125286,12.0320855614973,23.9104454146858,"min","Var_Repressed_FC_noredpcnt","Var_Repressed",23.1283422459893,38.0345516916412,"min","Var_Repressed_FC_noredpcnt","Var_Repressed","VAR","erythrocyte membrane protein 1 (PfEMP1), pseudogene",TRUE,FALSE
